EutecticComp,EutecticAngle,Radius1,Radius2
70.68110333,119.01,155,155
0,0,155,155
0,0,155,155
0,0,155,155
0,0,155,155
16.36558274,86.88,155,185
34.8486212,108.45,155,185
59.62414049,118.47,155,185
67.19452548,116.1,155,185
0,0,155,185
51.73278497,143.164,155,155
0,0,155,155
0,0,155,155
0,0,155,155
0,0,155,155
84.2130365,80.662,187,144
37.35120944,61.352,187,144
30.92902166,33.049,187,144
9.64375546,26.041,187,144
0,0,187,144
37.03658834,99.133,187,172
60.67836414,102.255,187,172
95.52387812,90.103,187,172
0,0,187,172
0,0,187,172
23.96761265,75.18,152,141
98.10075573,113,152,141
0,0,152,141
0,0,152,141
0,0,152,141
89.45199442,166.275,152,223
98.88070612,155.136,152,223
0,0,152,223
0,0,152,223
0,0,152,223
72.14963871,160.34,152,134
0,0,152,134
0,0,152,134
0,0,152,134
0,0,152,134
23.10073528,81.085,152,160
0,0,152,160
0,0,152,160
0,0,152,160
0,0,152,160
34.41772119,14.075,152,103
0,0,152,103
0,0,152,103
0,0,152,103
0,0,152,103
30.41748137,10.5,152,118
0,0,152,118
0,0,152,118
0,0,152,118
0,0,152,118
95.50944919,129.723,152,138
0,0,152,138
0,0,152,138
0,0,152,138
0,0,152,138
82.47899436,74.9,175,174
0,0,175,174
0,0,175,174
0,0,175,174
0,0,175,174
33.5153125,70.93,160,144
82.43124267,121.08,160,144
0,0,160,144
0,0,160,144
0,0,160,144
66.37015354,128.58,160,141
34.83231537,113,160,141
0,0,160,141
0,0,160,141
0,0,160,141
97.48991256,127.6,160,223
72.66935265,122.376,160,223
35.84835447,20.141,160,223
0,0,160,223
0,0,160,223
94.00687491,143,160,196
85.82656127,126.344,160,196
30.29693583,30.5,160,196
0,0,160,196
0,0,160,196
80.13176941,129.245,160,174
98.63817541,110.269,160,174
0,0,160,174
0,0,160,174
0,0,160,174
98.85004979,104.766,160,114
35.75790061,47.619,160,114
0,0,160,114
0,0,160,114
0,0,160,114
99.10520578,125.937,160,132
99.01461508,31.678,160,132
0,0,160,132
0,0,160,132
0,0,160,132
88.71480917,83.104,160,126
70.96418691,141.881,160,126
